hidden,ethnie,proportion,proportion_correct_cau,proportion_correct_ch
100,ch,30,0.017857142857142856,0.0
100,ch,30,1.0,1.0
100,ch,30,0.017857142857142856,0.041666666666666664
100,ch,30,1.0,1.0
100,ch,30,0.017857142857142856,0.0
100,ch,30,0.03571428571428571,0.041666666666666664
100,ch,30,0.017857142857142856,0.0
100,ch,30,0.017857142857142856,0.041666666666666664
100,ch,30,1.0,1.0
100,ch,30,1.0,1.0
100,ch,30,1.0,1.0
100,ch,30,1.0,1.0
100,ch,30,1.0,1.0
100,ch,30,0.017857142857142856,0.0
100,ch,30,0.0,0.041666666666666664
100,ch,30,1.0,1.0
100,ch,30,1.0,1.0
100,ch,40,0.0,0.02702702702702703
100,ch,40,1.0,1.0
100,ch,40,1.0,1.0
100,ch,40,0.017857142857142856,0.02702702702702703
100,ch,40,0.03571428571428571,0.0
100,ch,40,1.0,1.0
100,ch,40,1.0,1.0
100,ch,40,1.0,1.0
100,ch,40,0.017857142857142856,0.02702702702702703
100,ch,40,0.017857142857142856,0.08108108108108109
100,ch,40,0.017857142857142856,0.0
100,ch,40,0.017857142857142856,0.0
100,ch,40,1.0,1.0
100,ch,40,1.0,1.0
100,ch,40,1.0,1.0
100,ch,40,0.0,0.02702702702702703
100,ch,40,1.0,1.0
100,ch,40,0.017857142857142856,0.0
100,ch,40,0.0,0.02702702702702703
100,ch,40,0.017857142857142856,0.0
100,ch,50,0.017857142857142856,0.0
100,ch,50,1.0,1.0
100,ch,50,0.017857142857142856,0.0
100,ch,50,0.0,0.017857142857142856
100,ch,50,0.05357142857142857,0.0
100,ch,50,1.0,1.0
100,ch,50,1.0,1.0
100,ch,50,1.0,1.0
100,ch,50,0.0,0.017857142857142856
100,ch,50,1.0,1.0
100,ch,50,0.017857142857142856,0.017857142857142856
100,ch,50,1.0,1.0
100,ch,50,0.0,0.017857142857142856
100,ch,50,0.0,0.017857142857142856
100,ch,50,1.0,1.0
100,ch,50,0.0,0.03571428571428571
100,ch,50,0.0,0.017857142857142856
100,ch,50,1.0,1.0
100,ch,50,1.0,1.0
100,ch,50,0.017857142857142856,0.0
100,cau,40,1.0,1.0
100,cau,40,0.02702702702702703,0.0
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
